,names,scores,logfoldchanges,pvals,pvals_adj,effect_size,significance
9188,TSC22D1-AS1,-0.038063977,0.9275685,0.9696366723368612,0.9996419556685904,,Not Significant
9189,LATS2-AS1,-0.038073003,0.9473962,0.9696294755948297,0.9996419556685904,,Not Significant
9190,ST7,-0.038289636,0.18240657,0.969456754529387,0.9996419556685904,,Not Significant
9191,USP12,-0.038388927,,0.969377591186038,0.9996419556685904,,Not Significant
9192,GRPEL1,-0.038434055,,0.969341607947854,0.9996419556685904,,Not Significant
9193,AC011468.5,-0.038578477,0.37266564,0.9692264620054619,0.9996419556685904,,Not Significant
9194,MIR9-3HG,-0.038578477,0.37016484,0.9692264620054619,0.9996419556685904,,Not Significant
9195,AC091814.1,-0.038578477,0.3487243,0.9692264620054619,0.9996419556685904,,Not Significant
9196,NEFH,-0.038578477,0.36555195,0.9692264620054619,0.9996419556685904,,Not Significant
9197,AC018809.2,-0.038578477,0.3714563,0.9692264620054619,0.9996419556685904,,Not Significant
9198,TAF6,-0.038605556,,0.9692048722126124,0.9996419556685904,,Not Significant
9199,DENND6A-DT,-0.03862361,0.38404298,0.9691904790299173,0.9996419556685904,,Not Significant
9200,AL109811.1,-0.03864166,0.36174732,0.9691760858572579,0.9996419556685904,,Not Significant
9201,AC009779.3,-0.03864166,0.3996927,0.9691760858572579,0.9996419556685904,,Not Significant
9202,SLC12A9-AS1,-0.038704846,0.3749107,0.9691257098320494,0.9996419556685904,,Not Significant
9203,AC016575.1,-0.038704846,0.4308516,0.9691257098320494,0.9996419556685904,,Not Significant
9204,GALNT5,-0.038704846,0.37571338,0.9691257098320494,0.9996419556685904,,Not Significant
9205,KCTD21-AS1,-0.038731925,0.38316834,0.9691041201446614,0.9996419556685904,,Not Significant
9206,LRRC20,-0.038731925,0.39602634,0.9691041201446614,0.9996419556685904,,Not Significant
9207,TGFB3,-0.038731925,0.4141403,0.9691041201446614,0.9996419556685904,,Not Significant
9208,NHLRC4,-0.038804136,0.43011025,0.9690465477557054,0.9996419556685904,,Not Significant
9209,AC107982.3,-0.03882219,0.4213219,0.9690321546836612,0.9996419556685904,,Not Significant
9210,DNAAF4,-0.03882219,0.43494037,0.9690321546836612,0.9996419556685904,,Not Significant
9211,AC068722.2,-0.03884024,0.47147197,0.9690177616217043,0.9996419556685904,,Not Significant
